time,alt_z,roll,pitch,m_hat,n0_x,n0_y,n0_z
5.904,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
5.954,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
6.004,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
6.054,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
6.104,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
6.154,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
6.204,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
6.254,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
6.304,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
6.354,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
6.404,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
6.454,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
6.504,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
6.554,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
6.604,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
6.654,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
6.704,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
6.754,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
6.804,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
6.854,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
6.904,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
6.954,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
7.004,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
7.054,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
7.104,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
7.154,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
7.204,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
7.254,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
7.304,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
7.354,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
7.404,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
7.454,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
7.504,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
7.554,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
7.604,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
7.654,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
7.704,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
7.754,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
7.804,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
7.854,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
7.904,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
7.954,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
8.004,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
8.054,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
8.104,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
8.154,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
8.204,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
8.254,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
8.304,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
8.354,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
8.404,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
8.454,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
8.504,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
8.554,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
8.604,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
8.654,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
8.704,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
8.754,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
8.804,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
8.854,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
8.904,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
8.954,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
9.004,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
9.054,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
9.104,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
9.154,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
9.204,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
9.254,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
9.304,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
9.354,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
9.404,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
9.454,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
9.504,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
9.554,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
9.604,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
9.654,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
9.704,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
9.754,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
9.804,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
9.854,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
9.904,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
9.954,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
10.004,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
10.054,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
10.104,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
10.154,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
10.204,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
10.254,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
10.304,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
10.354,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
10.404,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
10.454,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
10.504,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
10.554,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
10.604,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
10.654,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
10.704,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
10.754,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
10.804,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
10.854,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
10.904,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
10.954,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
11.004,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
11.054,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
11.104,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
11.154,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
11.204,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
11.254,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
11.304,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
11.354,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
11.404,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
11.454,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
11.504,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
11.554,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
11.604,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
11.655,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
11.704,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
11.754,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
11.804,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
11.854,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
11.904,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
11.954,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
12.004,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
12.054,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
12.104,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
12.154,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
12.204,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
12.254,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
12.304,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
12.354,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
12.404,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
12.454,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
12.504,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
12.554,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
12.604,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
12.654,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
12.704,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
12.754,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
12.804,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
12.854,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
12.904,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
12.954,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
13.004,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
13.054,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
13.104,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
13.154,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
13.204,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
13.254,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
13.304,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
13.354,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
13.404,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
13.454,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
13.504,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
13.554,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
13.604,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
13.655,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
13.704,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
13.754,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
13.804,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
13.854,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
13.904,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
13.954,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
14.004,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
14.054,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
14.104,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
14.154,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
14.204,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
14.254,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
14.304,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
14.354,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
14.404,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
14.454,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
14.504,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
14.554,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
14.604,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
14.654,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
14.704,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
14.754,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
14.804,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
14.854,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
14.904,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
14.954,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
15.004,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
15.054,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
15.104,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
15.154,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
15.204,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
15.254,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
15.304,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
15.354,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
15.404,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
15.454,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
15.504,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
15.554,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
15.604,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
15.654,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
15.704,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
15.754,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
15.804,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
15.854,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
15.904,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
15.954,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
16.004,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
16.054,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
16.104,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
16.154,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
16.204,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
16.254,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
16.304,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
16.354,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
16.404,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
16.454,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
16.504,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
16.554,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
16.604,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
16.654,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
16.704,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
16.754,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
16.804,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
16.854,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
16.904,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
16.954,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
17.004,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
17.054,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
17.104,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
17.154,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
17.204,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
17.254,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
17.304,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
17.354,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
17.404,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
17.454,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
17.504,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
17.554,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
17.604,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
17.654,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
17.704,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
17.754,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
17.804,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
17.854,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
17.904,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
17.954,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
18.004,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
18.054,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
18.104,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
18.154,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
18.204,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
18.254,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
18.304,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
18.354,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
18.404,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
18.454,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
18.504,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
18.554,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
18.604,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
18.654,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
18.704,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
18.754,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
18.804,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
18.854,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
18.904,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
18.954,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
19.004,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
19.054,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
19.104,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
19.154,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
19.204,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
19.254,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
19.304,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
19.354,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
19.404,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
19.454,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
19.504,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
19.554,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
19.604,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
19.654,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
19.704,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
19.754,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
19.804,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
19.854,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
19.904,0.000,0.000,0.000,0.000,0.0000,0.0000,0.0000
